Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
174247,421 E 62ND ST,60637,Residential,"50,000 - 250,000 Sq Ft",2019,WOODLAWN,42,20,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
250090,3700 W Congress Pkwy,60624,Municipal,"50,000 - 250,000 Sq Ft",2019,EAST GARFIELD PARK,27,28,41.8747432,-87.71838095,"(41.8747432, -87.71838095)"
251660,3500 W Douglas Blvd,60623,Municipal,"50,000 - 250,000 Sq Ft",2019,NORTH LAWNDALE,29,24,41.862916,-87.71298,"(41.862916, -87.71298)"
244503,5000 E End Ave,60615,Residential,"> 250,000 Sq Ft",2021,KENWOOD,39,5,41.80422316,-87.58577365,"(41.80422316, -87.58577365)"
157348,1531 N Clybourn Ave,60610,Municipal,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,27,41.90965061,-87.64658669,"(41.90965061, -87.64658669)"
251525,223 N Keeler Ave,60624,Municipal,"50,000 - 250,000 Sq Ft",2019,WEST GARFIELD PARK,26,28,41.88386042,-87.73025708,"(41.88386042, -87.73025708)"
158453,59 E Van Buren St,60605,Residential,"50,000 - 250,000 Sq Ft",2019,LOOP,32,42,41.87678279,-87.62541009,"(41.87678279, -87.62541009)"
172607,1734 1740 N MARSHFIELD AVE,60622,Residential,"50,000 - 250,000 Sq Ft",2019,WEST TOWN,24,32,41.90225377,-87.68447845,"(41.90225377, -87.68447845)"
254351,1241 1245 W JACKSON BLVD,60607,Residential,"50,000 - 250,000 Sq Ft",2019,Near West Side,28,28,41.87987598,-87.65468643,"(41.87987598, -87.65468643)"
252060,950 E 61st St,60637,Commercial,"50,000 - 250,000 Sq Ft",2021,WOODLAWN,42,20,41.78439159,-87.60197356,"(41.78439159, -87.60197356)"
250143,325 N Wells St,60654,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.88833144,-87.63394425,"(41.88833144, -87.63394425)"
255954,930 W Altgeld St,60614,Residential,"> 250,000 Sq Ft",2019,LINCOLN PARK,7,43,41.9252162,-87.6429218,"(41.9252162, -87.6429218)"
251558,3525 S. Honroe,60609,Municipal,"50,000 - 250,000 Sq Ft",2019,MCKINLEY PARK,59,12,41.82970087,-87.67123908,"(41.82970087, -87.67123908)"
243578,2400 N Lakeview Ave,60614,Residential,"> 250,000 Sq Ft",2019,LINCOLN PARK,7,43,41.92586851,-87.63943267,"(41.92586851, -87.63943267)"
105014,5416 5422 N KENMORE AVE,60640,Residential,"50,000 - 250,000 Sq Ft",2019,EDGEWATER,77,48,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
251899,4250 S Rockwell St,60632,Municipal,"50,000 - 250,000 Sq Ft",2019,BRIGHTON PARK,58,15,41.81616259,-87.69017351,"(41.81616259, -87.69017351)"
251944,820 S Michigan Ave,60605,Commercial,"50,000 - 250,000 Sq Ft",2019,LOOP,32,4,41.87112548,-87.62470896,"(41.87112548, -87.62470896)"
251641,139 S Parkside Ave,60644,Municipal,"50,000 - 250,000 Sq Ft",2019,AUSTIN,25,29,41.87814763,-87.76599426,"(41.87814763, -87.76599426)"
254163,1 11 E Pearson Ave,60611,Commercial,"50,000 - 250,000 Sq Ft",2020,NEAR NORTH SIDE,8,42,41.8957877,-87.62247,"(41.8957877, -87.62247)"
243596,4250 N Marine Dr,60613,Residential,"> 250,000 Sq Ft",2021,UPTOWN,3,46,41.96030097,-87.64752405,"(41.96030097, -87.64752405)"
254374,4054 N KEDZIE AVE,60618,Residential,"50,000 - 250,000 Sq Ft",2021,Irving Park,16,33,41.95470868,-87.70563152,"(41.95470868, -87.70563152)"
175793,811 833 E 46TH ST,60653,Residential,"50,000 - 250,000 Sq Ft",2021,KENWOOD,39,4,41.82021138,-87.61246867,"(41.82021138, -87.61246867)"
251272,8331 S Stewart Ave,60620,Commercial,"50,000 - 250,000 Sq Ft",2019,CHATHAM,44,21,41.742502,-87.634048,"(41.742502, -87.634048)"
252073,118 S Clinton St,60661,Commercial,"50,000 - 250,000 Sq Ft",2020,NEAR WEST SIDE,28,42,41.87993535,-87.64144916,"(41.87993535, -87.64144916)"
160419,6400 N Sherdian Rd,60626,Municipal,"> 250,000 Sq Ft",2019,ROGERS PARK,1,49,41.99842087,-87.66122515,"(41.99842087, -87.66122515)"
251512,5042 S Artesian Ave,60632,Municipal,"50,000 - 250,000 Sq Ft",2019,GAGE PARK,63,14,41.80176591,-87.68607021,"(41.80176591, -87.68607021)"
102452,1100 E 57th St,60637,Commercial,"> 250,000 Sq Ft",2021,HYDE PARK,41,5,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
251298,5157 N Francisco Ave,60625,Commercial,"50,000 - 250,000 Sq Ft",2021,LINCOLN SQUARE,4,40,41.97548201,-87.70063068,"(41.97548201, -87.70063068)"
242510,8 E Randolph St,60601,Residential,"> 250,000 Sq Ft",2021,LOOP,32,42,41.88447107,-87.6276261,"(41.88447107, -87.6276261)"
120137,1300 S Clinton St,60607,Commercial,"50,000 - 250,000 Sq Ft",2021,NEAR WEST SIDE,28,11,41.864762,-87.64065,"(41.864762, -87.64065)"
240518,233 E 13th St,60605,Residential,"> 250,000 Sq Ft",2021,NEAR SOUTH SIDE,33,3,41.86561463,-87.62099053,"(41.86561463, -87.62099053)"
175275,5926 5934 N PAULINA ST,60660,Residential,"50,000 - 250,000 Sq Ft",2019,EDGEWATER,77,40,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
